sub,trial,gamble,choice,choice_fct,rt
6,4,12,2,B,20.951
6,5,39,2,B,47.094
6,6,6,2,B,11.998
6,7,55,2,B,49.632
6,8,18,2,B,36.139
6,9,26,1,A,20.551
6,10,76,2,B,18.782
6,11,71,2,B,29.026
6,12,31,1,A,14.154
6,13,56,2,B,19.919
6,14,43,2,B,16.856
6,15,83,1,A,10.645
6,16,74,2,B,24.69
6,17,75,1,A,13.278
6,18,37,2,B,42.542
6,19,47,1,A,30.318
6,20,41,2,B,14.119
6,21,5,1,A,13.019
6,22,49,2,B,15.047
6,23,46,2,B,18.6
6,24,88,1,A,28.408
6,25,77,1,A,42.51
6,26,67,2,B,8.151
6,27,42,1,A,12.658
6,28,38,2,B,19.948
6,29,21,2,B,14.439
6,30,81,2,B,12.319
6,31,19,1,A,17.139
6,32,63,1,A,8.398
6,33,17,1,A,15.708
6,34,14,1,A,13.038
6,35,4,1,A,18.788
6,36,60,1,A,27.587
6,37,57,2,B,16.666
6,38,73,2,B,8.6
6,39,66,2,B,13.491
6,40,45,2,B,24.325
6,41,40,1,A,10.888
6,42,61,1,A,13.031
6,43,54,2,B,25.582
6,44,70,2,B,13.57
6,45,62,2,B,15.968
6,46,44,2,B,21.021
6,47,36,1,A,7.731
6,48,8,1,A,13.996
6,49,28,2,B,23.327
6,50,53,2,B,37.061
6,51,22,2,B,20.453
6,52,24,1,A,23.563
6,53,10,1,A,16.351
6,54,23,2,B,9.007
6,55,65,1,A,9.258
6,56,20,1,A,10.535
6,57,48,1,A,9.723
6,58,86,2,B,8.745
6,59,34,2,B,8.962
6,60,16,1,A,18.732
6,61,58,2,B,12.561
6,62,69,1,A,43.674
6,63,25,2,B,16.89
6,64,1,2,B,9.362
6,65,85,1,A,7.308
6,66,30,2,B,7.853
6,67,78,1,A,6.49
6,68,79,2,B,7.98
6,69,80,1,A,4.727
6,70,13,1,A,21.122
6,71,29,2,B,14.533
6,72,90,1,A,18.423
6,73,84,2,B,20.081
6,74,11,1,A,14.41
6,75,68,1,A,13.717
6,76,91,2,B,9.133
6,77,27,2,B,9.296
6,78,33,2,B,22.661
6,79,15,2,B,7.523
6,80,64,2,B,17.938
6,81,32,1,A,37.509
6,82,52,1,A,13.354
6,83,82,2,B,14.496
6,84,87,1,A,10.969
6,85,3,2,B,10.135
6,86,2,1,A,5.33
6,87,59,2,B,22.712
6,88,35,1,A,7.423
6,89,9,2,B,6.184
6,90,72,1,A,9.26
6,91,50,2,B,18.171
7,1,32,1,A,26.248
7,2,57,1,A,8.255
7,3,43,1,A,12.817
7,4,62,1,A,13.592
7,5,53,2,B,22.581
7,6,83,1,A,13.517
7,7,61,1,A,13.682
7,8,29,1,A,13.924
7,9,72,1,A,13.588
7,10,13,1,A,21.454
7,11,48,1,A,10.836
7,12,3,1,A,19.801
7,13,19,1,A,6.768
7,14,31,1,A,17.192
7,15,65,1,A,8.174
7,16,86,2,B,22.062
7,17,23,2,B,15.487
7,18,68,2,B,15.081
7,19,73,2,B,8.278
7,20,11,1,A,10.08
7,21,20,1,A,8.938
7,22,35,1,A,15.163
7,23,58,2,B,13.678
7,24,82,2,B,13.158
7,25,51,1,A,18.782
7,26,81,2,B,12.622
7,27,2,1,A,10.781
7,28,59,2,B,12.882
7,29,4,1,A,30.69
7,30,45,1,A,16.22
7,31,28,1,A,21.001
7,32,33,2,B,16.036
7,33,14,1,A,13.69
7,34,70,1,A,21.575
7,35,90,1,A,5.643
7,36,67,2,B,21.375
7,37,15,2,B,12.659
7,38,75,1,A,15.453
7,39,1,2,B,12.101
7,40,66,2,B,23.171
7,41,37,1,A,22.342
7,42,64,1,A,17.101
7,43,7,2,B,22.488
7,44,34,1,A,16.015
7,45,76,2,B,8.172
7,46,18,2,B,13.062
7,47,85,1,A,12.489
7,48,22,1,A,18.623
7,49,5,1,A,15.299
7,50,88,1,A,13.49
7,51,55,2,B,21.555
7,52,26,1,A,17.528
7,53,9,1,A,23.899
7,54,79,1,A,7.772
7,55,12,1,A,8.085
7,56,36,1,A,16.352
7,57,74,2,B,15.091
7,58,39,2,B,43.367
7,59,50,1,A,17.223
7,60,8,2,B,16.876
7,61,25,2,B,12.84
7,62,69,1,A,18.157
7,63,91,2,B,16.155
7,64,27,2,B,20.301
7,65,6,2,B,11.434
7,66,24,2,B,25.386
7,67,46,2,B,16.741
7,68,84,2,B,15.123
7,69,52,1,A,11.746
7,70,78,2,B,5.976
7,71,80,2,B,5.802
7,72,87,1,A,9.42
7,73,89,1,A,32.281
7,74,40,1,A,22.391
7,75,42,1,A,15.6
7,76,41,2,B,8.84
7,77,63,1,A,14.585
7,78,44,2,B,11.422
7,79,60,1,A,14.214
7,80,16,2,B,13.293
7,81,47,2,B,21.7
7,82,38,2,B,14.167
7,83,17,1,A,14.557
7,84,77,1,A,4.63
7,85,71,2,B,17.061
7,86,10,2,B,18.229
7,87,30,2,B,33.686
7,88,21,1,A,11.396
7,89,49,2,B,9.186
7,90,54,1,A,18.114
7,91,56,1,A,13.318
8,1,47,1,A,20.293
8,2,62,1,A,9.962
8,3,28,1,A,23.801
8,4,49,2,B,10.471
8,5,21,1,A,28.535
8,6,73,1,A,12.069
8,7,51,2,B,24.819
8,8,72,1,A,16.051
8,9,68,2,B,8.796
8,10,26,1,A,22.158
8,11,29,1,A,8.387
8,12,48,1,A,35.982
8,13,50,1,A,7.439
8,14,27,2,B,8.467
8,15,39,2,B,7.212
8,16,40,1,A,26.899
8,17,20,1,A,19.976
8,18,24,2,B,12.89
8,19,13,1,A,10.769
8,20,81,1,A,8.832
8,21,76,2,B,17.135
8,22,83,2,B,16.431
8,23,25,2,B,8.617
8,24,16,2,B,9.597
8,25,75,2,B,7.64
8,26,82,2,B,21.276
8,27,10,1,A,10.219
8,28,90,1,A,7.94
8,29,43,1,A,16.118
8,30,14,1,A,9.643
8,31,2,2,B,14.352
8,32,7,2,B,17.252
8,33,61,1,A,26.324
8,34,85,1,A,47.511
8,35,55,1,A,9.55
8,36,17,1,A,19.101
8,37,37,2,B,18.651
8,38,87,1,A,27.938
8,39,15,2,B,10.561
8,40,22,2,B,10.166
8,41,5,1,A,11.288
8,42,38,2,B,10.21
8,43,78,1,A,16.131
8,44,60,1,A,16.583
8,45,45,2,B,23.097
8,46,32,2,B,36.059
8,47,3,1,A,13.052
8,48,53,2,B,18.272
8,49,66,2,B,9.361
8,50,89,1,A,11.984
8,51,67,1,A,9.195
8,52,36,2,B,21.797
8,53,42,1,A,30.233
8,54,34,1,A,16.428
8,55,58,2,B,24.736
8,56,64,1,A,12.066
8,57,44,1,A,11.191
8,58,54,2,B,18.613
8,59,23,2,B,6.751
8,60,69,1,A,12.738
8,61,9,1,A,26.502
8,62,80,1,A,7.237
8,63,19,1,A,7.943
8,64,6,2,B,20.943
8,65,18,1,A,19.497
8,66,57,1,A,11.973
8,67,31,1,A,50.884
8,68,74,2,B,19.816
8,69,30,1,A,33.943
8,70,12,1,A,36.259
8,71,4,2,B,61.234
8,72,65,1,A,10.871
8,73,77,2,B,13.65
8,74,86,1,A,20.348
8,75,46,2,B,14.993
8,76,88,2,B,21.697
8,77,59,2,B,26.076
8,78,1,2,B,10.97
8,79,33,2,B,34.999
8,80,91,2,B,16.245
8,81,11,1,A,16.319
8,82,41,2,B,12.797
8,83,84,2,B,14.995
8,84,71,2,B,12.397
8,85,70,1,A,13.582
8,86,79,1,A,6.917
8,87,56,2,B,16.957
8,88,52,1,A,30.349
8,89,8,2,B,14.832
8,90,35,1,A,5.938
8,91,63,2,B,22.125
10,1,53,2,B,20.696
10,2,87,1,A,13.72
10,3,84,2,B,8.884
10,4,12,2,B,8.604
10,5,40,1,A,22.799
10,6,28,2,B,12.329
10,7,3,2,B,12.912
10,8,69,2,B,7.964
10,9,1,2,B,14.262
10,10,4,2,B,11.863
10,11,88,1,A,10.159
10,12,85,1,A,4.741
10,13,78,2,B,6.894
10,14,68,2,B,7.512
10,15,61,1,A,9.958
10,16,17,1,A,9.222
10,17,19,2,B,16.451
10,18,73,2,B,13.161
10,19,63,1,A,15.513
10,20,59,2,B,29.494
10,21,31,1,A,13.072
10,22,36,1,A,30.193
10,23,57,1,A,15.279
10,24,27,2,B,8.785
10,25,46,1,A,16.364
10,26,29,2,B,8.669
10,27,62,2,B,7.503
10,28,75,1,A,8.748
10,29,79,2,B,6.844
10,30,65,1,A,6.184
10,31,9,2,B,7.238
10,32,32,2,B,4.544
10,33,26,1,A,6.799
10,34,48,1,A,7.942
10,35,25,2,B,14.903
10,36,66,1,A,9.996
10,37,18,1,A,11.511
10,38,5,2,B,5.888
10,39,21,1,A,9.441
10,40,51,2,B,8.424
10,41,8,2,B,9.477
10,42,74,2,B,11.198
10,43,37,1,A,7.745
10,44,70,1,A,21.177
10,45,20,1,A,18.99
10,46,49,2,B,7.709
10,47,77,2,B,7.652
10,48,7,2,B,12.099
10,49,34,1,A,4.407
10,50,6,2,B,7.203
10,51,52,1,A,12.365
10,52,54,1,A,37.744
10,53,81,2,B,8.144
10,54,80,1,A,4.701
10,55,55,2,B,27.023
10,56,22,2,B,14.01
10,57,16,1,A,13.167
10,58,83,1,A,5.374
10,59,38,2,B,8.046
10,60,35,1,A,8.683
10,61,10,1,A,11.464
10,62,58,2,B,3.534
10,63,42,1,A,8.416
10,64,67,1,A,9.465
10,65,33,1,A,9.719
10,66,44,2,B,8.603
10,67,47,2,B,12.035
10,68,64,2,B,16.217
10,69,39,2,B,5.361
10,70,56,1,A,10.331
10,71,14,1,A,8.846
10,72,86,2,B,6.378
10,73,24,2,B,4.104
10,74,45,2,B,9.974
10,75,23,1,A,10.548
10,76,50,2,B,11.145
10,77,13,1,A,6.996
10,78,43,2,B,9.484
10,79,2,1,A,13.978
10,80,11,1,A,17.7
10,81,60,1,A,7.964
10,82,76,1,A,3.938
10,83,82,2,B,13.459
10,84,30,1,A,11.338
10,85,15,2,B,5.419
10,86,41,2,B,5.337
10,87,89,2,B,4.623
10,88,71,2,B,15.207
10,89,91,2,B,8.369
10,90,90,1,A,6.104
10,91,72,2,B,7.201
13,1,29,1,A,70.33
13,2,72,1,A,6.038
13,3,30,2,B,17.045
13,4,17,1,A,9.62
13,5,40,1,A,83.124
13,6,65,1,A,9.803
13,7,12,1,A,6.8
13,8,58,2,B,5.516
13,9,27,1,A,6.658
13,10,9,1,A,4.681
13,11,49,1,A,9.717
13,12,81,2,B,19.139
13,13,79,2,B,14.505
13,14,61,2,B,15.699
13,15,26,1,A,12.78
13,16,13,1,A,13.337
13,17,63,2,B,23.019
13,18,41,1,A,17.013
13,19,39,1,A,25.663
13,20,90,1,A,43.333
13,21,4,2,B,29.576
13,22,37,1,A,36.466
13,23,54,2,B,10.801
13,24,89,1,A,21.835
13,25,67,2,B,7.247
13,26,14,2,B,16.348
13,27,45,2,B,16.9
13,28,21,1,A,8.004
13,29,24,2,B,10.418
13,30,75,2,B,6.916
13,31,48,2,B,13.753
13,32,23,1,A,7.271
13,33,71,2,B,21.052
13,34,46,2,B,10.604
13,35,85,1,A,10.098
13,36,38,2,B,16.923
13,37,88,1,A,4.217
13,38,50,1,A,10.739
13,39,87,1,A,7.354
13,40,62,2,B,11.004
13,41,28,1,A,14.245
13,42,59,2,B,18.44
13,43,44,2,B,10.099
13,44,78,2,B,7.869
13,45,64,2,B,44.498
13,46,8,2,B,22.747
13,47,42,2,B,42.211
13,48,15,2,B,6.103
13,49,77,1,A,10.222
13,50,73,2,B,10.993
13,51,66,2,B,4.615
13,52,57,2,B,5.896
13,53,10,1,A,6.237
13,54,32,1,A,33.515
13,55,70,1,A,8.341
13,56,1,2,B,7.981
13,57,76,2,B,3.701
13,58,51,2,B,4.306
13,59,31,1,A,34.68
13,60,69,2,B,3.536
13,61,84,1,A,7.548
13,62,68,2,B,9.555
13,63,52,2,B,34.413
13,64,33,1,A,33.752
13,65,74,1,A,28.72
13,66,20,2,B,112.537
13,67,22,1,A,6.831
13,68,47,1,A,3.959
13,69,56,1,A,7.027
13,70,7,1,A,19.766
13,71,55,1,A,7.4
13,72,91,2,B,13.716
13,73,83,1,A,12.179
13,74,35,1,A,7.383
13,75,6,2,B,15.422
13,76,43,2,B,9.574
13,77,25,2,B,19.768
13,78,11,1,A,20.046
13,79,16,1,A,3.631
13,80,2,2,B,10.731
13,81,19,2,B,7.374
13,82,36,1,A,25.81
13,83,80,2,B,15.377
13,84,34,2,B,32.22
13,85,82,2,B,14.582
13,86,86,2,B,23.372
13,87,5,1,A,2.412
13,88,60,2,B,3.555
13,89,53,2,B,7.775
13,90,3,2,B,7.444
13,91,18,2,B,11.722
16,1,9,2,B,9.501
16,2,12,2,B,6.022
16,3,40,1,A,7.644
16,4,66,2,B,6.124
16,5,86,2,B,4.422
16,6,7,2,B,5.481
16,7,44,1,A,7.669
16,8,24,2,B,6.95
16,9,54,2,B,11.2
16,10,3,2,B,3.467
16,11,71,2,B,9.085
16,12,15,2,B,4.71
16,13,18,1,A,8.338
16,14,55,2,B,7.193
16,15,72,1,A,4.392
16,16,22,1,A,12.687
16,17,73,1,A,196.801
16,18,11,2,B,3.926
16,19,43,1,A,5.397
16,20,78,1,A,4.311
16,21,29,1,A,5.894
16,22,42,1,A,4.494
16,23,61,2,B,5.417
16,24,75,2,B,4.659
16,25,88,2,B,22.035
16,26,91,2,B,3.779
16,27,2,1,A,5.815
16,28,26,2,B,6.275
16,29,59,2,B,5.956
16,30,47,1,A,6.847
16,31,1,2,B,6.447
16,32,62,2,B,4.258
16,33,41,2,B,6.219
16,34,82,2,B,8.945
16,35,68,2,B,6.705
16,36,64,1,A,5.478
16,37,48,1,A,5.156
16,38,6,2,B,4.649
16,39,84,2,B,6.566
16,40,69,1,A,307.558
16,41,8,1,A,0.492
16,42,16,2,B,3.868
16,43,33,1,A,5.049
16,44,49,1,A,6.622
16,45,31,2,B,6.959
16,46,77,2,B,2.863
16,47,27,2,B,6.06
16,48,90,1,A,3.986
16,49,36,2,B,5
16,50,13,2,B,3.559
16,51,74,2,B,3.215
16,52,10,1,A,6.645
16,53,38,1,A,2.464
16,54,25,2,B,5.417
16,55,63,1,A,5.828
16,56,28,1,A,7.686
16,57,89,1,A,2.659
16,58,30,2,B,4.144
16,59,65,1,A,3.362
16,60,87,1,A,4.855
16,61,23,2,B,3.608
16,62,58,2,B,4.842
16,63,85,1,A,5.883
16,64,39,1,A,3.511
16,65,56,2,B,21.009
16,66,83,1,A,2.212
16,67,4,2,B,1.853
16,68,19,1,A,1.184
16,69,21,2,B,1.998
16,70,45,1,A,6.157
16,71,17,1,A,3.372
16,72,57,1,A,6.128
16,73,52,1,A,25.096
16,74,81,2,B,2.063
16,75,50,1,A,1.911
16,76,70,2,B,3.204
16,77,5,1,A,6.929
16,78,80,1,A,2.74
16,79,37,2,B,4.464
16,80,14,1,A,4.745
16,81,20,1,A,22.974
16,82,51,2,B,2.21
16,83,35,1,A,3.04
16,84,53,1,A,8.369
