sub,trial,gamble,choice,choice_fct,rt,gain_loss,A_p1,A_o1,A_p2,A_o2,B_p1,B_o1,B_p2,B_o2,A_risky,B_risky
3,58,11,1,A,4.219,gain,0.08,54,0.92,31,0.15,44,0.85,29,risky,risky
3,61,12,1,A,1.548,gain,0.92,63,0.08,5,0.63,43,0.37,53,risky,risky
3,86,13,1,A,1.413,gain,0.78,32,0.22,99,0.32,39,0.68,56,risky,risky
3,82,14,1,A,2,gain,0.16,66,0.84,23,0.79,15,0.21,29,risky,risky
3,40,15,2,B,2.101,gain,0.12,52,0.88,73,0.98,92,0.02,19,risky,risky
3,6,16,2,B,2.643,gain,0.29,88,0.71,78,0.29,53,0.71,91,risky,risky
3,68,17,2,B,1.992,gain,0.31,39,0.69,51,0.84,16,0.16,91,risky,risky
3,43,18,2,B,2.366,gain,0.17,70,0.83,65,0.35,100,0.65,50,risky,risky
3,55,19,1,A,2.092,gain,0.91,80,0.09,19,0.64,37,0.36,65,risky,risky
3,83,20,1,A,1.5,gain,0.09,83,0.91,67,0.48,77,0.52,6,risky,risky
3,66,21,1,A,1.982,gain,0.44,14,0.56,72,0.21,9,0.79,31,risky,risky
3,16,22,2,B,1.587,gain,0.68,41,0.32,65,0.85,100,0.15,2,risky,risky
3,80,23,2,B,1.873,gain,0.38,40,0.62,55,0.14,26,0.86,96,risky,risky
3,28,24,1,A,1.59,gain,0.62,1,0.38,83,0.41,37,0.59,24,risky,risky
3,21,25,2,B,2.275,gain,0.49,15,0.51,50,0.94,64,0.06,14,risky,risky
3,7,26,1,A,3.01,loss,0.16,-15,0.84,-67,0.72,-56,0.28,-83,risky,risky
3,52,27,1,A,1.702,loss,0.13,-19,0.87,-56,0.7,-32,0.3,-37,risky,risky
3,12,28,1,A,1.801,loss,0.29,-67,0.71,-28,0.05,-46,0.44,-95,risky,risky
3,22,29,1,A,2.354,loss,0.82,-40,0.18,-90,0.17,-46,0.83,-64,risky,risky
3,72,30,1,A,2.194,loss,0.29,-25,0.71,-86,0.76,-38,0.24,-99,risky,risky
3,11,31,1,A,2.899,loss,0.6,-46,0.4,-21,0.42,-99,0.58,-37,risky,risky
