sub,trial,uncertain_word,valence,arousal,rt
41,4,uncertain,-219,229,3.597
41,5,improbable,-175,-18,7.372
41,6,inevitable,0,220,27.534
41,7,unexpected,-243,246,5.332
41,8,frequent,157,202,3.897
41,9,predictable,243,244,3.207
41,10,erratic,-205,219,3.657
41,11,vague,-194,196,6.137
41,12,risky,-184,208,4.587
41,13,certain,238,240,3.257
41,14,unknown,-29,-117,6.533
41,15,likely,-128,-125,3.66
41,16,doubtful,-135,-142,2.633
41,17,definite,223,221,2.85
41,18,confident,-106,-38,6.575
42,1,inevitable,-200,-80,12.901
42,2,likely,-69,-58,6.483
42,3,doubtful,-97,-65,6.866
42,4,certain,38,129,6.373
42,5,uncertain,-146,89,4.809
42,6,unexpected,-156,207,5.88
42,7,frequent,146,-89,3.799
42,8,unknown,-167,68,5.28
42,9,improbable,-64,34,7.732
42,10,risky,-183,-168,5.958
42,11,confident,194,142,3.883
42,12,possible,54,95,5.399
42,13,questionable,-108,59,5.279
42,14,predictable,188,-49,6.192
42,15,ambiguous,-63,56,6.487
42,16,erratic,-155,144,4.984
42,17,vague,-70,59,6.793
42,18,definite,173,138,12.508
44,1,inevitable,210,34,11.58
44,2,improbable,101,43,2.75
44,3,ambiguous,169,92,2.38
44,4,risky,-133,-175,5.122
44,5,frequent,135,26,4.013
44,6,erratic,23,26,7.367
44,7,doubtful,-221,-195,3.492
44,8,likely,-190,-49,2.017
44,9,confident,222,13,2.935
44,10,unexpected,-94,-183,3.309
44,11,predictable,159,37,3.037
44,12,certain,144,61,1.837
44,13,questionable,-21,40,4.714
44,14,possible,164,35,2.41
44,15,definite,230,6,2.218
44,16,vague,210,21,1.843
44,17,unknown,-220,-25,2.531
44,18,uncertain,-199,-25,2.266
45,1,risky,-178,199,18.005
45,2,frequent,26,15,7.792
45,3,inevitable,80,137,6.797
45,4,questionable,-186,-87,6.014
45,5,possible,245,241,3.815
45,6,uncertain,-242,-246,4.92
45,7,ambiguous,0,2,4.282
45,8,improbable,-152,-168,7.883
45,9,confident,243,245,3.979
45,10,vague,-122,-127,5.979
45,11,predictable,-1,2,5.651
45,12,unknown,26,32,6.696
45,13,erratic,-247,-240,4.02
45,14,doubtful,-97,-54,5.2
45,15,unexpected,-143,-70,4.343
45,16,definite,137,109,6.765
45,17,likely,-149,-113,3.671
45,18,certain,151,150,6.592
46,1,definite,103,165,8.809
46,2,certain,118,123,6.466
46,3,unexpected,-71,-46,7.322
46,4,ambiguous,-134,-153,3.461
46,5,uncertain,-129,-109,3.118
46,6,unknown,-66,-93,6.078
46,7,erratic,-201,-199,3.59
46,8,vague,-184,-173,4.632
46,9,likely,-147,-56,4.591
46,10,possible,55,169,3.604
46,11,confident,200,151,425.017
46,12,inevitable,184,196,4.534
46,13,doubtful,-92,71,5.97
46,14,questionable,-79,-91,3.934
46,15,risky,-224,-87,3.531
46,16,predictable,219,204,4.386
46,17,frequent,103,39,3.314
46,18,improbable,-70,-42,6.704
48,1,vague,-72,-44,5.008
48,2,questionable,-57,1,5.679
48,3,inevitable,2,153,4.559
48,4,unexpected,-1,39,3.617
48,5,doubtful,-69,13,5.416
48,6,ambiguous,4,1,4.735
48,7,possible,5,13,3.949
48,8,certain,73,185,9.97
48,9,erratic,-149,56,5.095
48,10,likely,-49,5,2.144
48,11,confident,55,6,2.257
48,12,definite,2,0,2.835
48,13,risky,-94,5,2.552
48,14,frequent,3,29,4.01
48,15,predictable,152,61,2.705
48,16,uncertain,-21,6,7.982
48,17,improbable,-44,12,2.893
48,18,unknown,-31,-4,2.376
49,1,certain,57,13,10.636
49,2,likely,-22,-8,8.603
49,3,risky,-1,104,7.725
49,4,erratic,1,182,6.104
49,5,uncertain,-6,-15,9.134
49,6,predictable,-2,-118,7.272
49,7,inevitable,-78,77,7.63
49,8,unexpected,41,37,8.424
49,9,improbable,-155,30,5.818
49,10,questionable,-73,-70,7.722
49,11,doubtful,-59,-60,8.471
49,12,vague,-110,64,6.094
49,13,possible,97,13,6.699
49,14,unknown,2,212,6.913
49,15,confident,196,199,3.823
49,16,frequent,38,-89,4.39
49,17,definite,126,81,5.542
49,18,ambiguous,0,122,8.303
50,1,possible,165,104,6.859
50,2,definite,67,-59,16.373
50,3,questionable,-1,152,5.573
50,4,unknown,-1,138,5.615
50,5,vague,1,12,8.695
50,6,ambiguous,-1,46,7.109
50,7,likely,-39,-15,8.324
50,8,erratic,-20,185,5.609
50,9,inevitable,33,1,9.946
50,10,doubtful,-18,-17,7.565
50,11,frequent,1,2,5.714
50,12,predictable,17,-125,8.9
50,13,unexpected,0,183,4.805
50,14,risky,-59,162,8.118
50,15,improbable,5,-5,7.128
50,16,certain,104,-96,6.24
50,17,confident,164,-19,8.496
50,18,uncertain,-1,171,5.17
51,1,possible,143,133,11.991
51,2,doubtful,-218,161,5.454
51,3,inevitable,209,219,5.3
51,4,ambiguous,2,1,5.047
51,5,unexpected,-162,-6,4.616
51,6,definite,4,237,5.012
51,7,improbable,0,-128,3.764
51,8,risky,1,244,4.906
51,9,frequent,113,142,4.112
51,10,unknown,22,-89,5.166
51,11,likely,-69,-160,9.594
51,12,uncertain,-51,-139,7.163
51,13,questionable,-19,-83,20.794
51,14,certain,227,139,5.605
51,15,vague,22,-38,3.869
51,16,predictable,126,105,4.713
51,17,erratic,-1,244,4.448
51,18,confident,179,163,3.92
52,1,predictable,98,-18,8.718
52,2,possible,137,81,3.357
52,3,risky,-123,85,4.06
52,4,vague,-57,-41,6.941
52,5,erratic,-130,184,5.13
52,6,likely,-38,-98,4.422
52,7,unknown,-124,31,3.963
52,8,uncertain,-111,26,3.384
52,9,doubtful,-68,45,3.413
52,10,questionable,-63,95,4.053
52,11,improbable,-102,-33,4.551
52,12,frequent,11,-22,2.388
52,13,unexpected,107,50,5.229
52,14,definite,100,-152,5.427
52,15,ambiguous,-16,-134,3.269
52,16,inevitable,-130,25,5.296
52,17,certain,-15,-108,4.317
52,18,confident,166,114,3.588
54,1,certain,0,219,11.655
54,2,unknown,-122,0,7.614
54,3,improbable,-106,121,13.864
